id,file,action,stamps_before,faces_covered_before,stamps_after,faces,faces_covered_after,logo_width_frac,logo_cx,logo_cy,w,h,kb
274,keif-aldiafa-service-saudi-ardah-folk-troupe-drums-flag-night-garden.webp,rebuilt-1-center,1,1,1,10,0,0.34,0.5,0.75,675,1200,177
275,keif-aldiafa-service-street-beverage-vendor-dallah-traditional-fez.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,880,1200,100
276,keif-aldiafa-generic-fruit-parfait-honey-stock.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,867,1200,55
277,keif-aldiafa-generic-grapes-closeup-stock.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,889,1200,131
278,keif-aldiafa-generic-kiwi-slices-closeup-stock.webp,rebuilt-1-center,1,0,1,0,0,0.28,0.5,0.58,1200,799,189
279,keif-aldiafa-generic-mixed-berries-red-bowl-stock.webp,rebuilt-1-center,1,3,1,5,0,0.34,0.64,0.61,889,1200,179
280,keif-aldiafa-generic-pineapple-chunks-bowl.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1200,1179,130
281,keif-aldiafa-generic-social-banner-safraji-waiters-service-design.webp,rebuilt-nostamp,0,0,0,0,0,,,,1137,417,31
282,keif-aldiafa-generic-social-banner-zamzam-saqya-service-design.webp,rebuilt-nostamp,0,0,0,2,0,,,,1200,513,45
283,keif-aldiafa-generic-stock-assorted-canapes-on-slate-board.webp,restored,1,0,1,2,0,,,,1100,1100,140
284,keif-aldiafa-generic-stock-assorted-pastries-plates.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,736,1103,121
285,keif-aldiafa-generic-stock-bowl-of-glossy-dates-on-white.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,600,600,30
286,keif-aldiafa-generic-stock-bruschetta-slate-serving-with-olive-oil.webp,rebuilt-1-center,1,3,1,3,0,0.3,0.64,0.75,1100,1100,134
287,keif-aldiafa-generic-stock-cheese-sandwich-on-white-plate.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,900,1200,37
288,keif-aldiafa-generic-stock-chocolate-filled-croissants-on-plate.webp,rebuilt-1-center,1,0,1,1,0,0.34,0.5,0.61,736,920,87
289,keif-aldiafa-generic-stock-crispy-fried-bites-with-mustard-dip.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,1100,1100,122
290,keif-aldiafa-generic-stock-dark-beverage-with-mint-lemon-and-brown-pods.webp,rebuilt-1-center,1,0,1,0,0,0.34,0.5,0.61,800,1035,62
